Journal,Publons,SCImago,NLMCatalog
Am J Orthod Dentofacial Orthop,Mosby Inc.,Mosby Inc.,C.V. Mosby
Anesth Prog,Allen Press Inc.,Allen Press Inc.,American Dental Society of Anesthesiology
Angle Orthod,Allen Press Inc.,Allen Press Inc.,Edward H. Angle Society of Orthodontia
Arch Oral Biol,Elsevier,Elsevier Ltd.,Pergamon Press
BMC Oral Health,Springer Nature,BioMed Central Ltd.,BioMed Central
Br Dent J,Nature Publishing Group,Nature Publishing Group,London
Br J Oral Maxillofac Surg,Churchill Livingstone,Churchill Livingstone,Churchill Livingstone
Caries Res,Karger Publishers,S. Karger AG,Karger
Cleft Palate Craniofac J,SAGE Publishing,American Cleft Palate Craniofacial Association,The Association
Clin Exp Dent Res,Wiley,John Wiley & Sons Inc.,Wiley
Clin Implant Dent Relat Res,Wiley,Wiley-Blackwell,B.C. Decker
Clin Oral Implants Res,Wiley,Blackwell Munksgaard,Munksgaard
Clin Oral Investig,Springer Nature,Springer Verlag,Springer
Community Dent Oral Epidemiol,Wiley,Blackwell Munksgaard,Munksgaard
Compend Contin Educ Dent,"Dental Learning Systems Co., Inc.","Dental Learning Systems Co., Inc.",Dental Learning Systems
Dent Clin North Am,W.B. Saunders Ltd,W.B. Saunders Ltd,Saunders
Dent Mater,Elsevier,Elsevier Science,Munksgaard
Dent Traumatol,Wiley,Blackwell Munksgaard,Munksgaard
Dental Press J Orthod,Dental Press International,Dental Press Editora Ltda,Dental Press International
Eur Arch Paediatr Dent,Springer,Springer Verlag,European Academy of Paediatric Dentistry
Eur Endod J,KARE Publishing,Kare Publishing,Kare Publishing
Eur J Dent Educ,Wiley,Wiley-Blackwell Publishing Ltd,Munksgaard
Eur J Oral Sci,Wiley,Blackwell Munksgaard,Munksgaard
Eur J Orthod,Oxford University Press,Oxford University Press,Churchill Livingstone
Evid Based Dent,Nature Publishing Group,Nature Publishing Group,British Dental Journal
Gerodontology,Wiley,Blackwell Munksgaard,Beech Hill Pub. Co.
Head Face Med,Springer Nature,BioMed Central Ltd.,BioMed Central
Hua Xi Kou Qiang Yi Xue Za Zhi,Sichuan yi xue yuan,Sichuan yi xue yuan,Sichuan yi xue yuan
Int Dent J,Wiley,Wiley-Blackwell,FDI World Dental
Int Endod J,Wiley,Wiley-Blackwell Publishing Ltd,Blackwell Scientific Publications
Int J Dent Hyg,Wiley,Wiley-Blackwell Publishing Ltd,Blackwell Pub
Int J Implant Dent,Springer Nature,Springer Verlag,Springer
Int J Oral Maxillofac Surg,Elsevier,Churchill Livingstone,Munksgaard
Int J Oral Sci,Springer Nature,Sichuan University Press,"West China College of Stomatology, Sichuan University Press"
Int J Paediatr Dent,Wiley,Wiley-Blackwell Publishing Ltd,Blackwell Scientific Publications
Int Orthod,Elsevier,Elsevier Masson,Masson
J Am Dent Assoc,American Dental Association,American Dental Association,American Dental Association
J Appl Oral Sci,Faculdade de Odontologia de Bauru,Faculdade de Odontologia de Bauru,Faculdade de Odontologia de Bauru
J Clin Periodontol,Wiley,Blackwell Munksgaard,Munksgaard
J Craniofac Surg,Wolters Kluwer Health | Lippincott,Lippincott Williams and Wilkins Ltd.,B.C. Decker
J Craniomaxillofac Surg,Churchill Livingstone,Churchill Livingstone,Thieme
J Dent,Elsevier,Elsevier BV,Wright
J Dent (Shiraz),Shiraz University of Medical Sciences,Shiraz University of Medical Sciences,Shiraz University of Medical Sciences
J Dent Educ,Wiley,American Dental Education Association,American Assn. of Dental Schools
J Dent Res,SAGE Publishing,SAGE Publications Inc.,American Dental Assn
J Endod,Elsevier,Elsevier Inc.,American Dental Assocation
J Esthet Restor Dent,Wiley,Wiley-Blackwell,BC Decker
J Evid Based Dent Pract,Mosby Inc.,Mosby Inc.,"Mosby, Inc."
J Int Acad Periodontol,FDI World Dental Press,FDI World Dental Press Ltd,FDI World Dental Press Ltd
J Oral Biosci,Japanese Association for Oral Biology,Japanese Association for Oral Biology,Japanese Association for Oral Biology
J Oral Maxillofac Surg,W.B. Saunders Ltd,W.B. Saunders Ltd,W.B. Saunders Co.
J Oral Pathol Med,Wiley,Wiley-Blackwell Publishing Ltd,Munksgaard
J Oral Rehabil,Wiley,Wiley-Blackwell Publishing Ltd,Blackwell Scientific Publications
J Orthod,SAGE Publishing,Sage Publications,Oxford University Press
J Periodontal Res,Wiley,Blackwell Munksgaard,Munksgaard International Publishers
J Periodontol,Wiley,John Wiley & Sons Inc.,American Academy of Periodontology
J Prosthet Dent,Elsevier,Mosby Inc.,Mosby
J Prosthodont,Wiley,Wiley-Blackwell Publishing Ltd,W.B. Saunders Co.
J Public Health Dent,Wiley,Wiley-Blackwell,American Association of Public Health Dentists
J Stomatol Oral Maxillofac Surg,Elsevier,Elsevier BV,Elsevier Masson SAS
J World Fed Orthod,Elsevier,Elsevier BV,Elsevier
JDR Clin Trans Res,SAGE Publishing,SAGE Publications Ltd,Sage Publications
Mol Oral Microbiol,Wiley,American Journal of Nursing Company,John Wiley & Sons
Odontology,Springer Nature,Springer Japan,Springer-Verlag Tokyo
Oral Dis,Wiley,Wiley-Blackwell,Munksgaard
Oral Maxillofac Surg,Springer Nature,Springer Verlag,Springer-Verlag
Oral Maxillofac Surg Clin North Am,W.B. Saunders Ltd,W.B. Saunders Ltd,W.B. Saunders Co.
Orthod Craniofac Res,Wiley,Wiley-Blackwell Publishing Ltd,Blackwell Munksgaard
Periodontol 2000,Wiley,Blackwell Munksgaard,Munksgarrd
Prog Orthod,Springer Nature,Springer Verlag,Munksgaard
Spec Care Dentist,Wiley,Wiley-Blackwell,American Dental Association
